2018-08-18 10:43:00.622 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'httpPutFormContentFilter' to: [/*]     
2018-08-18 10:43:00.622 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'requestContextFilter' to: [/*]     
2018-08-18 10:43:00.622 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'webStatFilter' to urls: [/*]     
2018-08-18 10:43:00.622 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'shiroFilterFactoryBean' to: [/*]     
2018-08-18 10:43:00.716 INFO  AbstractUrlHandlerMapping.java registerHandler Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]     
2018-08-18 10:43:00.774 INFO  RequestMappingHandlerAdapter.java initControllerAdviceCache Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3686f65d: startup date [Sat Aug 18 10:42:59 CST 2018]; root of context hierarchy     
2018-08-18 10:43:00.790 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/login/],methods=[POST]}" onto public club.pinea.school.util.AjaxResult club.pinea.school.controller.LoginController.login(java.lang.String,java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpSession)     
2018-08-18 10:43:00.790 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/login/captcha]}" onto public void club.pinea.school.controller.LoginController.captcha(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletResponse)     
2018-08-18 10:43:00.790 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/test/queryString/{string}]}" onto public java.lang.String club.pinea.school.controller.TestController.queryString(java.lang.String)     
2018-08-18 10:43:00.790 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)     
2018-08-18 10:43:00.790 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)     
2018-08-18 10:43:00.805 INFO  AbstractUrlHandlerMapping.java registerHandler Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]     
2018-08-18 10:43:00.805 INFO  AbstractUrlHandlerMapping.java registerHandler Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]     
2018-08-18 10:43:00.881 INFO  SpringTemplateLoader.java <init> SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3686f65d: startup date [Sat Aug 18 10:42:59 CST 2018]; root of context hierarchy] and template loader path [classpath:/templates/]     
2018-08-18 10:43:00.881 INFO  FreeMarkerConfigurer.java postProcessTemplateLoaders ClassTemplateLoader for Spring macros added to FreeMarker configuration     
2018-08-18 10:43:00.885 WARN  FreeMarkerAutoConfiguration.java checkTemplateLocationExists Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)     
2018-08-18 10:43:00.947 INFO  OptionalLiveReloadServer.java startServer LiveReload server is running on port 35729     
2018-08-18 10:43:00.963 INFO  MBeanExporter.java afterSingletonsInstantiated Registering beans for JMX exposure on startup     
2018-08-18 10:43:00.963 INFO  MBeanExporter.java autodetect Bean with name 'druidDataSource' has been autodetected for JMX exposure     
2018-08-18 10:43:00.963 INFO  MBeanExporter.java registerBeanInstance Located MBean 'druidDataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=druidDataSource,type=DruidDataSource]     
2018-08-18 10:43:00.978 INFO  DirectJDKLog.java log Starting ProtocolHandler ["http-nio-8080"]     
2018-08-18 10:43:00.978 INFO  DirectJDKLog.java log Using a shared selector for servlet write/read     
2018-08-18 10:43:00.978 INFO  TomcatWebServer.java start Tomcat started on port(s): 8080 (http) with context path ''     
2018-08-18 10:43:00.978 INFO  StartupInfoLogger.java logStarted Started SchoolApplication in 1.052 seconds (JVM running for 44739.85)     
2018-08-18 10:43:00.978 INFO  ConditionEvaluationDeltaLoggingListener.java onApplicationEvent Condition evaluation unchanged     
2018-08-18 10:43:09.726 INFO  AbstractApplicationContext.java doClose Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3686f65d: startup date [Sat Aug 18 10:42:59 CST 2018]; root of context hierarchy     
2018-08-18 10:43:09.741 INFO  MBeanExporter.java destroy Unregistering JMX-exposed beans on shutdown     
2018-08-18 10:43:09.741 INFO  MBeanRegistrationSupport.java unregisterBeans Unregistering JMX-exposed beans     
2018-08-18 10:43:10.825 INFO  StartupInfoLogger.java logStarting Starting SchoolApplication on G1S1IT7N7AKPDO3 with PID 1772 (C:\Users\Administrator\Documents\GitHub\demo\target\classes started by Administrator in C:\Users\Administrator\Documents\GitHub\demo)     
2018-08-18 10:43:10.825 INFO  SpringApplication.java logStartupProfileInfo No active profile set, falling back to default profiles: default     
2018-08-18 10:43:10.825 INFO  AbstractApplicationContext.java prepareRefresh Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@35c33f6d: startup date [Sat Aug 18 10:43:10 CST 2018]; root of context hierarchy     
2018-08-18 10:43:11.309 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'shiroConfig' of type [club.pinea.school.config.ShiroConfig$$EnhancerBySpringCGLIB$$98b99e78] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
