2018-08-20 23:16:58.835 INFO  StartupInfoLogger.java logStarting Starting SchoolApplication on G1S1IT7N7AKPDO3 with PID 1200 (C:\Users\Administrator\Documents\GitHub\demo\target\classes started by Administrator in C:\Users\Administrator\Documents\GitHub\demo)     
2018-08-20 23:16:58.839 INFO  SpringApplication.java logStartupProfileInfo No active profile set, falling back to default profiles: default     
2018-08-20 23:16:58.906 INFO  AbstractApplicationContext.java prepareRefresh Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7a5fb57: startup date [Mon Aug 20 23:16:58 CST 2018]; root of context hierarchy     
2018-08-20 23:17:00.127 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'shiroConfig' of type [club.pinea.school.config.ShiroConfig$$EnhancerBySpringCGLIB$$ee6b6efc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.490 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.514 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.524 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$91fe66bb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.531 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'druidConfig' of type [club.pinea.school.config.DruidConfig$$EnhancerBySpringCGLIB$$4311d26d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.616 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'druidDataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.690 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.704 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.801 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'sysUserMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.803 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'sysUserMapper' of type [com.sun.proxy.$Proxy61] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.805 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'accountServiceImpl' of type [club.pinea.school.service.impl.AccountServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.806 INFO  AuthorizingRealm.java getAuthorizationCacheLazy No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.     
2018-08-20 23:17:00.806 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'shiroDbRealm' of type [club.pinea.school.shiro.ShiroDBRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.818 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.827 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'methodInvokingFactoryBean' of type [org.springframework.beans.factory.config.MethodInvokingFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.893 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:00.940 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$5f2a158b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-20 23:17:01.707 INFO  TomcatWebServer.java initialize Tomcat initialized with port(s): 8080 (http)     
2018-08-20 23:17:01.722 INFO  DirectJDKLog.java log Initializing ProtocolHandler ["http-nio-8080"]     
2018-08-20 23:17:01.733 INFO  DirectJDKLog.java log Starting service [Tomcat]     
2018-08-20 23:17:01.733 INFO  DirectJDKLog.java log Starting Servlet Engine: Apache Tomcat/8.5.32     
2018-08-20 23:17:01.737 INFO  DirectJDKLog.java log The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_161\bin;C:\windows\Sun\Java\bin;C:\windows\system32;C:\windows;C:/Program Files/Java/jre1.8.0_161/bin/server;C:/Program Files/Java/jre1.8.0_161/bin;C:/Program Files/Java/jre1.8.0_161/lib/amd64;C:\ProgramData\Oracle\Java\javapath;C:\windows\system32;C:\windows;C:\windows\System32\Wbem;C:\windows\System32\WindowsPowerShell\v1.0\;D:\java\jdk1.8.0_131/bin;C:\Program Files\MySQL\MySQL Utilities 1.6\;D:\redis\redis64-3.0.501;D:\java\maven\apache-maven-3.0.5\bin;C:\Program Files\MySQL\MySQL Server 5.6\bin;C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories;C:\Program Files\nodejs\;D:\Ruby22-x64\bin;C:\Users\Administrator\AppData\Local\Microsoft\WindowsApps;C:\Users\Administrator\AppData\Roaming\npm;C:\Users\Administrator\AppData\Local\GitHubDesktop\bin;C:\Users\Administrator\Desktop;;.]     
2018-08-20 23:17:01.829 INFO  DirectJDKLog.java log Initializing Spring embedded WebApplicationContext     
2018-08-20 23:17:01.829 INFO  ServletWebServerApplicationContext.java prepareWebApplicationContext Root WebApplicationContext: initialization completed in 2923 ms     
2018-08-20 23:17:01.964 INFO  ServletRegistrationBean.java addRegistration Servlet dispatcherServlet mapped to [/]     
2018-08-20 23:17:01.965 INFO  ServletRegistrationBean.java addRegistration Servlet statViewServlet mapped to [/druid/*]     
2018-08-20 23:17:01.968 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'characterEncodingFilter' to: [/*]     
2018-08-20 23:17:01.969 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'hiddenHttpMethodFilter' to: [/*]     
2018-08-20 23:17:01.969 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'httpPutFormContentFilter' to: [/*]     
2018-08-20 23:17:01.970 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'requestContextFilter' to: [/*]     
2018-08-20 23:17:01.970 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'webStatFilter' to urls: [/*]     
2018-08-20 23:17:01.970 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'shiroFilterFactoryBean' to: [/*]     
2018-08-20 23:17:08.438 INFO  AbstractUrlHandlerMapping.java registerHandler Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]     
2018-08-20 23:17:08.706 INFO  RequestMappingHandlerAdapter.java initControllerAdviceCache Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7a5fb57: startup date [Mon Aug 20 23:16:58 CST 2018]; root of context hierarchy     
2018-08-20 23:17:08.779 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/login/captcha]}" onto public void club.pinea.school.controller.LoginController.captcha(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletResponse)     
2018-08-20 23:17:08.781 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/login/],methods=[POST]}" onto public club.pinea.school.util.AjaxResult club.pinea.school.controller.LoginController.login(java.lang.String,java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpSession)     
2018-08-20 23:17:08.781 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/main/index]}" onto public club.pinea.school.util.AjaxResult club.pinea.school.controller.MainController.index()     
2018-08-20 23:17:08.783 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/test/testAop]}" onto public java.lang.String club.pinea.school.controller.TestController.test()     
2018-08-20 23:17:08.783 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/test/queryString/{string}]}" onto public java.lang.String club.pinea.school.controller.TestController.queryString(java.lang.String)     
2018-08-20 23:17:08.785 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)     
2018-08-20 23:17:08.786 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)     
2018-08-20 23:17:08.848 INFO  AbstractUrlHandlerMapping.java registerHandler Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]     
2018-08-20 23:17:08.848 INFO  AbstractUrlHandlerMapping.java registerHandler Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]     
2018-08-20 23:17:09.202 INFO  SpringTemplateLoader.java <init> SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7a5fb57: startup date [Mon Aug 20 23:16:58 CST 2018]; root of context hierarchy] and template loader path [classpath:/templates/]     
2018-08-20 23:17:09.204 INFO  FreeMarkerConfigurer.java postProcessTemplateLoaders ClassTemplateLoader for Spring macros added to FreeMarker configuration     
2018-08-20 23:17:09.244 WARN  FreeMarkerAutoConfiguration.java checkTemplateLocationExists Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)     
2018-08-20 23:17:09.488 INFO  OptionalLiveReloadServer.java startServer LiveReload server is running on port 35729     
2018-08-20 23:17:09.531 INFO  MBeanExporter.java afterSingletonsInstantiated Registering beans for JMX exposure on startup     
2018-08-20 23:17:09.533 INFO  MBeanExporter.java autodetect Bean with name 'druidDataSource' has been autodetected for JMX exposure     
2018-08-20 23:17:09.539 INFO  MBeanExporter.java registerBeanInstance Located MBean 'druidDataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=druidDataSource,type=DruidDataSource]     
2018-08-20 23:17:09.553 INFO  DirectJDKLog.java log Starting ProtocolHandler ["http-nio-8080"]     
2018-08-20 23:17:09.568 INFO  DirectJDKLog.java log Using a shared selector for servlet write/read     
2018-08-20 23:17:09.584 INFO  TomcatWebServer.java start Tomcat started on port(s): 8080 (http) with context path ''     
2018-08-20 23:17:09.589 INFO  StartupInfoLogger.java logStarted Started SchoolApplication in 11.144 seconds (JVM running for 12.328)     
